Country,Year,Suicides number,Population2
Albania,1987,73.0,2709600.0
Albania,1988,63.0,2764300.0
Albania,1989,68.0,2803100.0
Albania,1992,47.0,2822500.0
Albania,1993,73.0,2807300.0
Albania,1994,50.0,2849300.0
Albania,1995,88.0,2903400.0
Albania,1996,89.0,2940200.0
Albania,1997,170.0,2977300.0
Albania,1998,154.0,3012700.0
Albania,1999,139.0,3029700.0
Albania,2000,54.0,2796300.0
Albania,2001,119.0,2799349.0
Albania,2002,133.0,2818839.0
Albania,2003,124.0,2843929.0
Albania,2004,146.0,2874991.0
Albania,2005,0.0,2783320.0
Albania,2006,0.0,2780176.0
Albania,2007,124.0,2770344.0
Albania,2008,160.0,2757059.0
Albania,2009,0.0,2745735.0
Albania,2010,96.0,2736025.0
Anguilla,1983,0.0,0.0
Anguilla,1984,0.0,0.0
Anguilla,1985,0.0,0.0
Anguilla,1986,0.0,0.0
Anguilla,1987,0.0,0.0
Anguilla,1988,0.0,0.0
Anguilla,1989,0.0,0.0
Anguilla,1990,0.0,0.0
Anguilla,1991,0.0,0.0
Anguilla,1992,0.0,0.0
Anguilla,1993,0.0,0.0
Anguilla,1994,0.0,0.0
Anguilla,1995,0.0,0.0
Anguilla,2000,0.0,0.0
Anguilla,2001,0.0,0.0
Anguilla,2002,1.0,0.0
Anguilla,2003,0.0,0.0
Anguilla,2004,0.0,0.0
Anguilla,2005,0.0,0.0
Anguilla,2006,0.0,0.0
Anguilla,2008,0.0,0.0
Anguilla,2009,0.0,0.0
Anguilla,2010,0.0,0.0
Anguilla,2011,1.0,0.0
Anguilla,2012,0.0,0.0
Anguilla,2013,0.0,0.0
Anguilla,2014,0.0,0.0
Anguilla,2015,0.0,0.0
Anguilla,2016,0.0,0.0
Antigua and Barbuda,1983,0.0,64691.0
Antigua and Barbuda,1985,0.0,62574.0
Antigua and Barbuda,1986,0.0,61270.0
Antigua and Barbuda,1987,0.0,60261.0
Antigua and Barbuda,1988,0.0,59564.0
Antigua and Barbuda,1989,0.0,59238.0
Antigua and Barbuda,1990,1.0,59334.0
Antigua and Barbuda,1991,0.0,60394.0
Antigua and Barbuda,1992,0.0,61741.0
Antigua and Barbuda,1993,1.0,63315.0
Antigua and Barbuda,1994,0.0,65044.0
Antigua and Barbuda,1995,0.0,66846.0
Antigua and Barbuda,1998,0.0,72225.0
Antigua and Barbuda,1999,0.0,73832.0
Antigua and Barbuda,2000,2.0,75326.0
Antigua and Barbuda,2001,2.0,76497.0
Antigua and Barbuda,2002,0.0,77588.0
Antigua and Barbuda,2003,1.0,78658.0
Antigua and Barbuda,2004,2.0,79722.0
Antigua and Barbuda,2005,0.0,80809.0
Antigua and Barbuda,2006,0.0,81973.0
Antigua and Barbuda,2007,1.0,83131.0
Antigua and Barbuda,2008,0.0,84273.0
Antigua and Barbuda,2009,0.0,85405.0
Antigua and Barbuda,2012,0.0,88703.0
Antigua and Barbuda,2013,0.0,89779.0
Antigua and Barbuda,2014,0.0,90837.0
Antigua and Barbuda,2015,1.0,91889.0
Argentina,1979,1802.0,24986000.0
Argentina,1980,1972.0,24706600.0
Argentina,1981,2197.0,24995800.0
Argentina,1982,1965.0,26233000.0
Argentina,1983,1834.0,26657000.0
Argentina,1984,1873.0,26673900.0
Argentina,1985,1988.0,27090800.0
Argentina,1986,2284.0,27244400.0
Argentina,1987,2286.0,27599400.0
Argentina,1988,2354.0,28308000.0
Argentina,1989,2247.0,28702000.0
Argentina,1990,2140.0,29091100.0
Argentina,1991,1951.0,29623000.0
Argentina,1992,2184.0,30045400.0
Argentina,1993,2230.0,30477500.0
Argentina,1994,2241.0,30911200.0
Argentina,1995,2204.0,31345400.0
Argentina,1996,2229.0,31780700.0
Argentina,1997,2184.0,32333781.0
Argentina,1998,2347.0,32757259.0
Argentina,1999,2423.0,33174862.0
Argentina,2000,2774.0,33585533.0
Argentina,2001,3132.0,34010946.0
Argentina,2002,3162.0,34407507.0
Argentina,2003,3289.0,34785907.0
Argentina,2004,3121.0,35162945.0
Argentina,2005,3058.0,35550617.0
Argentina,2006,3108.0,35918886.0
Argentina,2007,2946.0,36315492.0
Argentina,2008,3059.0,36733520.0
Argentina,2009,2884.0,37158001.0
Argentina,2010,2943.0,37578454.0
Argentina,2011,2912.0,38015739.0
Argentina,2012,3248.0,38441778.0
Argentina,2013,2987.0,38859125.0
Argentina,2014,3231.0,39276555.0
Argentina,2015,3073.0,39699624.0
Armenia,1981,92.0,2768700.0
Armenia,1982,70.0,2793600.0
Armenia,1985,74.0,2866100.0
Armenia,1986,61.0,2893400.0
Armenia,1987,81.0,2922700.0
Armenia,1988,61.0,2932000.0
Armenia,1989,78.0,2935600.0
Armenia,1990,93.0,2983700.0
Armenia,1991,80.0,3230800.0
Armenia,1992,83.0,3308700.0
Armenia,1993,106.0,3366600.0
Armenia,1994,112.0,3402500.0
Armenia,1995,130.0,3443200.0
Armenia,1996,87.0,3486300.0
Armenia,1997,77.0,3526700.0
Armenia,1998,66.0,3558000.0
Armenia,1999,67.0,3580700.0
Armenia,2000,61.0,3606500.0
Armenia,2001,60.0,3610516.0
Armenia,2002,74.0,3014844.0
Armenia,2003,59.0,3024366.0
Armenia,2006,78.0,2764396.0
Armenia,2007,71.0,2735313.0
Armenia,2008,63.0,3045391.0
Armenia,2009,53.0,2689695.0
Armenia,2010,73.0,2676225.0
Armenia,2011,67.0,2670366.0
Armenia,2012,79.0,2814300.0
Armenia,2013,67.0,2810664.0
Armenia,2014,58.0,2803029.0
Armenia,2015,74.0,2795335.0
Armenia,2016,67.0,2784119.0
Aruba,1987,0.0,55589.0
Aruba,1990,0.0,56754.0
Aruba,1995,8.0,73581.0
Aruba,1999,9.0,81934.0
Aruba,2000,10.0,83888.0
Aruba,2001,4.0,86045.0
Aruba,2002,9.0,88284.0
Aruba,2003,2.0,90457.0
Aruba,2004,8.0,92335.0
Aruba,2005,10.0,93728.0
Aruba,2006,9.0,94508.0
Aruba,2007,8.0,94814.0
Aruba,2008,4.0,94814.0
Aruba,2009,4.0,94795.0
Aruba,2010,7.0,95006.0
Aruba,2011,9.0,95488.0
Aruba,2012,3.0,96215.0
Aruba,2013,2.0,97110.0
Aruba,2014,5.0,97988.0
Aruba,2015,9.0,98712.0
Australia,1979,1675.0,13279400.0
Australia,1980,1606.0,13485100.0
Australia,1981,1671.0,13788400.0
Australia,1982,1766.0,14023600.0
Australia,1983,1697.0,14209600.0
Australia,1984,1753.0,14374800.0
Australia,1985,1861.0,14562500.0
Australia,1986,2044.0,14809800.0
Australia,1987,2164.0,15046500.0
Australia,1988,2172.0,15312100.0
Australia,1989,2066.0,15570600.0
Australia,1990,2202.0,15807000.0
Australia,1991,2288.0,16012100.0
Australia,1992,2251.0,16203500.0
Australia,1993,2038.0,16370000.0
Australia,1994,2283.0,16549400.0
Australia,1995,2170.0,16766300.0
Australia,1996,2426.0,17015100.0
Australia,1997,2646.0,17221300.0
Australia,1998,2632.0,17421730.0
Australia,1999,2488.0,17641702.0
Australia,2000,2391.0,17874410.0
Australia,2001,2458.0,18130883.0
Australia,2002,2319.0,18370058.0
Australia,2003,2156.0,18608029.0
Australia,2004,2114.0,18854551.0
Australia,2006,2117.0,19109246.0
Australia,2007,2229.0,19734430.0
Australia,2008,2341.0,20120312.0
Australia,2009,2337.0,20529317.0
Australia,2010,2420.0,20847547.0
Australia,2011,2392.0,20881910.0
Australia,2012,2580.0,21238909.0
Australia,2013,2608.0,21600180.0
Australia,2014,2891.0,21927587.0
Australia,2015,3027.0,22240785.0
Austria,1980,1932.0,7071800.0
Austria,1981,2032.0,7133800.0
Austria,1982,2070.0,7131523.0
Austria,1983,2041.0,7112766.0
Austria,1984,2028.0,7107249.0
Austria,1985,2091.0,7110115.0
Austria,1986,2139.0,7119149.0
Austria,1987,2069.0,7130006.0
Austria,1988,1851.0,7144410.0
Austria,1989,1898.0,7177666.0
Austria,1990,1825.0,7231353.0
Austria,1991,1769.0,7299728.0
Austria,1992,1759.0,7375368.0
Austria,1993,1704.0,7433569.0
Austria,1994,1776.0,7462552.0
Austria,1995,1788.0,7477030.0
Austria,1996,1779.0,7493706.0
Austria,1997,1592.0,7512589.0
Austria,1998,1559.0,7533519.0
Austria,1999,1555.0,7561609.0
Austria,2000,1588.0,7592073.0
Austria,2001,1489.0,7634560.0
Austria,2002,1553.0,7683162.0
Austria,2003,1456.0,7722033.0
Austria,2004,1422.0,7773105.0
Austria,2005,1399.0,7827461.0
Austria,2006,1297.0,7869269.0
Austria,2007,1285.0,7897272.0
Austria,2008,1267.0,7925258.0
Austria,2009,1278.0,7946894.0
Austria,2010,1264.0,7968421.0
Austria,2011,1288.0,7995146.0
Austria,2012,1276.0,8031276.0
Austria,2013,1291.0,8079615.0
Austria,2014,1314.0,8141165.0
Austria,2015,1251.0,8219386.0
Austria,2016,1204.0,8319211.0
Azerbaijan,1981,287.0,5532400.0
Azerbaijan,1982,239.0,5614500.0
Azerbaijan,1985,244.0,5852100.0
Azerbaijan,1986,235.0,5928300.0
Azerbaijan,1987,254.0,6013900.0
Azerbaijan,1988,232.0,6106300.0
Azerbaijan,1989,219.0,6111200.0
Azerbaijan,1990,114.0,6156800.0
Azerbaijan,1991,134.0,6290600.0
Azerbaijan,1992,144.0,6370400.0
Azerbaijan,1993,119.0,6442600.0
Azerbaijan,1994,47.0,6521200.0
Azerbaijan,1995,49.0,6605900.0
Azerbaijan,1996,69.0,6668100.0
Azerbaijan,1997,107.0,6711200.0
Azerbaijan,1998,56.0,7044400.0
Azerbaijan,1999,54.0,7106400.0
Azerbaijan,2000,62.0,7415250.0
Azerbaijan,2001,317.0,7518000.0
Azerbaijan,2002,92.0,7605700.0
Azerbaijan,2003,129.0,7674400.0
Azerbaijan,2004,108.0,7738250.0
Azerbaijan,2007,55.0,7921100.0
Bahamas,1980,1.0,180400.0
Bahamas,1981,1.0,181100.0
Bahamas,1983,5.0,189500.0
Bahamas,1984,7.0,200300.0
Bahamas,1985,1.0,203700.0
Bahamas,1987,3.0,220900.0
Bahamas,1993,7.0,243500.0
Bahamas,1994,3.0,249300.0
Bahamas,1995,2.0,254500.0
Bahamas,1996,3.0,252438.0
Bahamas,1997,2.0,255956.0
Bahamas,1998,3.0,260125.0
Bahamas,1999,6.0,264791.0
Bahamas,2000,11.0,269738.0
Bahamas,2001,1.0,276140.0
Bahamas,2002,3.0,282555.0
Bahamas,2003,1.0,288888.0
Bahamas,2004,2.0,295237.0
Bahamas,2005,4.0,301763.0
Bahamas,2006,2.0,308499.0
Bahamas,2007,5.0,314989.0
Bahamas,2008,4.0,321447.0
Bahamas,2009,6.0,327813.0
Bahamas,2010,10.0,333869.0
Bahamas,2011,4.0,338383.0
Bahamas,2012,5.0,343558.0
Bahamas,2013,5.0,348959.0
Bahrain,1985,11.0,365900.0
Bahrain,1987,9.0,363900.0
Bahrain,1988,14.0,389700.0
Bahrain,1997,0.0,529754.0
Bahrain,1998,0.0,546008.0
Bahrain,1999,17.0,565762.0
Bahrain,2000,29.0,590594.0
Bahrain,2001,23.0,624083.0
Bahrain,2002,25.0,661010.0
Bahrain,2003,34.0,702913.0
Bahrain,2004,42.0,751559.0
Bahrain,2005,42.0,819540.0
Bahrain,2006,28.0,888543.0
Bahrain,2007,40.0,964770.0
Bahrain,2008,43.0,1024110.0
Bahrain,2009,36.0,1092922.0
Bahrain,2010,19.0,1139160.0
Bahrain,2011,18.0,1103462.0
Bahrain,2012,19.0,1201778.0
Bahrain,2013,5.0,1214492.0
Bahrain,2014,9.0,1213966.0
Barbados,1979,2.0,229300.0
Barbados,1980,3.0,228700.0
Barbados,1981,7.0,229500.0
Barbados,1982,2.0,228500.0
Barbados,1983,9.0,230200.0
Barbados,1984,5.0,230900.0
Barbados,1985,7.0,231000.0
Barbados,1986,8.0,231600.0
Barbados,1987,6.0,233700.0
Barbados,1988,12.0,234800.0
Barbados,1989,16.0,236000.0
Barbados,1990,16.0,237000.0
Barbados,1991,17.0,237000.0
Barbados,1992,14.0,240000.0
Barbados,1993,16.0,239600.0
Barbados,1994,14.0,240300.0
Barbados,1995,17.0,241200.0
Barbados,2000,10.0,251133.0
Barbados,2001,2.0,252406.0
Barbados,2002,0.0,253353.0
Barbados,2003,0.0,254122.0
Barbados,2004,3.0,254925.0
Barbados,2005,1.0,255889.0
Barbados,2006,9.0,256883.0
Barbados,2007,0.0,258083.0
Barbados,2008,1.0,259414.0
Barbados,2009,5.0,260718.0
Barbados,2010,3.0,261927.0
Barbados,2011,0.0,263203.0
Barbados,2012,0.0,264270.0
Barbados,2013,0.0,265165.0
Belarus,1981,2388.0,8944900.0
Belarus,1982,2616.0,9001100.0
